 [587.52, 74.88]
 [436.32, 135.36]
 [488.16, 159.84]
 [264.96, 313.92]
 [340.416, 259.2]
 [343.872, 248.832]
 [84.672, 210.816]
 [81.21601, 209.088]
 [84.672, 195.264]
 [81.21601, 198.72]
 [575.4241, 103.68]
 [604.8, 82.94401]
 [592.704, 81.21601]
 [267.84, 155.52]
 [259.2, 153.792]
 [247.104, 145.152]
 [171.072, 209.088]
 [153.792, 209.088]
 [171.072, 191.808]
 [153.792, 190.08]
 [604.8, 250.56]
 [552.9601, 243.648]
 [402.624, 243.648]
 [589.248, 392.256]
 [165.888, 343.872]
 [105.408, 335.232]
 [126.144, 319.68]
 [513.2161, 70.84801]
 [480.384, 67.39201]
 [571.9681, 214.272]
 [285.12, 217.728]
 [271.296, 219.456]
 [328.32, 69.12001]
 [114.048, 252.288]
 [221.184, 108.864]
 [221.184, 84.672]
 [445.824, 438.912]
 [451.0081, 411.264]
 [336.96, 219.456]
 [326.592, 210.816]
 [383.616, 317.952]
 [328.32, 314.496]
 [604.8, 437.1841]
 [563.3281, 433.728]
 [317.952, 362.88]
 [252.288, 350.784]
 [70.84801, 243.648]
 [55.29601, 243.648]
 [314.496, 82.94401]
 [457.92, 393.984]
 [395.712, 350.784]
 [585.7921, 179.712]
 [599.616, 138.24]
 [454.4641, 171.072]
 [435.4561, 134.784]
 [89.85601, 79.48801]
 [51.84, 79.48801]
 [91.58401, 34.56001]
 [480.384, 323.136]
 [483.8401, 307.584]
 [376.704, 127.872]
 [357.696, 100.224]
 [324.864, 82.94401]
 [530.496, 228.096]
 [494.208, 235.008]
 [530.496, 200.448]
 [482.1121, 191.808]
 [32.832, 131.328]
 [96.76801, 82.94401]
 [38.016, 100.224]
 [88.12801, 162.432]
 [32.832, 181.44]
 [88.12801, 157.248]
 [36.288, 134.784]
 [229.824, 70.84801]
 [245.376, 44.92801]
 [473.472, 108.864]
 [511.488, 84.672]
 [468.2881, 103.68]
 [437.1841, 117.504]
 [406.08, 120.96]
 [451.0081, 103.68]
 [497.6641, 267.84]
 [516.6721, 252.288]
 [482.1121, 248.832]
 [331.776, 174.528]
 [369.792, 160.704]
 [323.136, 145.152]
 [442.368, 336.96]
 [406.08, 342.144]
 [393.984, 293.76]
 [93.31201, 233.28]
 [447.552, 226.368]
 [409.536, 233.28]
 [449.28, 202.176]
 [312.768, 58.75201]
 [286.848, 38.016]
 [259.2, 41.472]
 [243.648, 216]
 [183.168, 217.728]
 [231.552, 209.088]
 [179.712, 191.808]
 [590.9761, 133.056]
 [556.4161, 108.864]
 [566.7841, 101.952]
 [336.96, 278.208]
 [373.248, 245.376]
 [155.52, 115.776]
 [143.424, 105.408]
 [131.328, 82.94401]
 [210.816, 162.432]
 [191.808, 162.432]
 [226.368, 146.88]
 [202.176, 157.248]
 [157.248, 165.888]
 [105.408, 179.712]
 [158.976, 160.704]
 [120.96, 139.968]
 [162.432, 219.456]
 [114.048, 222.912]
 [335.232, 395.712]
 [470.0161, 444.096]
 [157.248, 350.784]
 [82.94401, 373.248]
 [288.576, 402.624]
 [224.64, 421.632]
 [416.448, 76.03201]
 [587.5201, 74.30401]
 [485.5681, 158.976]
 [264.384, 314.496]
 [201.1392, 155.52]
 [186.624, 153.4464]
 [184.5504, 147.2256]
 [85.01761, 211.5072]
 [93.31201, 188.6976]
 [80.87041, 199.0656]
 [167.9616, 207.36]
 [147.2256, 213.5808]
 [172.1088, 188.6976]
