 [401.3163, 286.6545]
 [433.565, 372.6509]
 [415.6491, 361.9013]
 [401.3163, 347.5686]
 [82.41318, 139.7441]
 [107.4954, 107.4954]
 [75.24681, 107.4954]
 [444.3145, 401.3163]
 [397.7332, 404.8995]
 [394.15, 390.5668]
 [519.5613, 311.7368]
 [526.7277, 308.1536]
 [293.8209, 315.32]
 [272.3218, 293.8209]
 [354.735, 275.905]
 [537.4772, 379.8173]
 [526.7277, 372.6509]
 [297.4041, 265.1554]
 [243.6564, 275.905]
 [311.7368, 404.8995]
 [272.3218, 225.7404]
 [243.6564, 175.5759]
 [204.2413, 93.16272]
 [490.8959, 114.6618]
 [354.735, 100.3291]
